factor_name,full_name,category,description,formula,formula_latex,windows_min,windows_ticks,inputs,validity_conditions,notes
bap,Bid-Ask Pressure,微观结构,"衡量买卖盘力量不均衡程度。在每个 tick 计算一档买卖盘量之差除以之和，得到原始 BAP 值（范围 -1 到 1），再对过去 W 分钟内的有效原始值取均值，得到平滑后的因子值。正值表示买盘压力更强，负值表示卖盘压力更强。","bap_raw(t) = (BidVolume1(t) - AskVolume1(t)) / (BidVolume1(t) + AskVolume1(t))
bap_Wm(t) = mean(bap_raw(i), i in [t-W+1, t], bap_raw(i) 非 NaN)","\begin{aligned} \text{bap\_raw}(t) &= \frac{\text{BidVol}_1(t) - \text{AskVol}_1(t)}{\text{BidVol}_1(t) + \text{AskVol}_1(t)} \\[6pt] \text{bap}_{W}(t) &= \frac{1}{|\mathcal{V}|}\sum_{\substack{i \in [t-W+1,\,t] \\ \text{bap\_raw}(i) \neq \text{NaN}}} \text{bap\_raw}(i) \end{aligned}","15, 30, 45, 60, 75","300, 600, 900, 1200, 1500","BidVolume1（一档买量）、AskVolume1（一档卖量）、CanUseDoubleSideBook（双边报价有效标志）","1. CanUseDoubleSideBook=True 且分母 > 0 时 bap_raw 才有效，否则为 NaN；2. 窗口内有效比例须 ≥ 90%，否则因子值为 NaN","has_limit 恒为 False；涨跌停时 CanUseDoubleSideBook=False，bap_raw 本身为 NaN，不参与均值计算"
mom,Price Momentum,动量,"衡量股票在过去 W 分钟内的对数价格变化，即短期价格动量。正值表示价格上涨，负值表示价格下跌。只依赖两个端点价格，窗口可跨越午休时段，不做窗口内有效比例检验。","mom_Wm(t) = ln(P(t)) - ln(P(t - W_ticks))","\text{mom}_{W}(t) = \ln P(t) - \ln P(t - W) = \ln\frac{P(t)}{P(t-W)}","5, 10, 20, 30, 45, 60, 90","100, 200, 400, 600, 900, 1200, 1800","Price（成交价）、CanUsePrice（价格有效标志）","两端点 CanUsePrice 均须为 True，否则为 NaN；无窗口有效比例检验，允许跨午休","has_limit 标记当前 tick 或 W tick 前的端点是否为涨跌停；涨跌停时价格仍有效（CanUsePrice=True），动量可以计算但受限价约束"
acc_mom,Acceleration Momentum,动量,"衡量动量的加速度，即近期价格动量与远期价格动量之差。近期动量强于远期时因子值为正，表示价格加速上涨；反之为负，表示动量衰减或反转。仅依赖三个时间点的价格，不做滑动窗口有效比例检验。","acc_mom_{s,l}(t) = [ln P(t) - ln P(t-s)] - [ln P(t-s) - ln P(t-l)]","\text{acc\_mom}_{s,l}(t) = \bigl[\ln P(t) - \ln P(t-s)\bigr] - \bigl[\ln P(t-s) - \ln P(t-l)\bigr]","（以 tick 对为单位，不适用分钟）","(25,50)  (50,100)  (100,200)  (150,300)  (200,400)  (300,600)  (400,800)  (500,1000)  (600,1200)","Price（成交价）、CanUsePrice（价格有效标志）","三个 anchor tick（t、t-s、t-l）的 CanUsePrice 均须为 True，否则为 NaN；无窗口有效比例检验","has_limit 标记三个端点中任一是否为涨跌停；窗口以 (short_ticks, long_ticks) 对标注"
neg_skew,Negative Skewness,统计特征,"过去 W 分钟内 1 分钟收益率序列的负偏度。偏度为正表示收益率分布右偏（极端上涨概率较高），取负后因子为负；分布左偏（极端下跌概率较高）时因子为正。偏度绝对值越大，收益率分布越不对称。","r_1m(t) = P(t)/P(t-20) - 1
neg_skew_Wm(t) = -skew(r_1m(t-W*20+1 : t))","\begin{aligned} r_{1m}(t) &= \frac{P(t)}{P(t-20)} - 1 \\[6pt] \text{neg\_skew}_{W}(t) &= -\,\text{skew}\!\left(r_{1m}(t-W{\cdot}20+1),\ldots,r_{1m}(t)\right) \end{aligned}","15, 30, 45, 60","300, 600, 900, 1200","Price（成交价）、CanUsePrice（价格有效标志）","窗口检查跨度为 W×20+20 个 tick（多出 20 覆盖 r_1m 的 1 分钟 lag）；无效比例 < 10%；r_1m 两端点均须 CanUsePrice=True","has_limit 标记窗口内是否出现涨跌停；skew 由 pandas rolling().skew() 计算，内部自动跳过 NaN"
amp_slice,Amplitude Slice,波动率,"将过去 lookback 个 tick 按 30 秒（10 tick）分组，计算每组振幅（最高价/最低价-1）与均价，按均价升序排列后取最高 20% 组与最低 20% 组的振幅均值之差。正值表示高价位时段比低价位时段波动更剧烈，捕捉价格区间与波动率的相互关系。","amp_g = nanmax(P_g) / nanmin(P_g) - 1
amp_slice(t) = mean(高均价组振幅) - mean(低均价组振幅)","\begin{aligned} \text{amp}_g &= \frac{\max_{\text{nan}} P_g}{\min_{\text{nan}} P_g} - 1 \\[6pt] \text{amp\_slice}(t) &= \overline{\text{amp}}_{\text{high}\,20\%} - \overline{\text{amp}}_{\text{low}\,20\%} \end{aligned}","（以 tick 为单位，不适用分钟）","300, 600, 900, 1200, 1500（对应 30/60/90/120/150 组）","Price（成交价）、CanUsePrice（价格有效标志）","窗口内无效比例 < 10%；无效 tick 价格置 NaN 后由 nanmax/nanmin 自动跳过；若任一组的 nanmin ≤ 0 则整 tick 因子值为 NaN","每组 10 tick（30 秒）；取前后各 floor(G×0.2) 组，G 为总组数；has_limit 标记窗口内是否出现涨跌停"
rigidity,Price Rigidity,趋势,"对窗口内有效价格序列拟合二次多项式，用线性斜率 b、拟合优度 R² 与曲率 c 合成因子值。正向趋势（b>0）、拟合质量好（R² 大）且曲率低（接近直线，|c| 小）时因子绝对值更大，表示价格沿稳定线性趋势运动。","P_i = a + b*i + c*i^2  (i 为有效 tick 的窗口内相对位置)
rigidity(t) = b * R^2 * ln(1 / (|c| + 1e-8))","\begin{aligned} P_i &= a + b\,i + c\,i^2 \\[4pt] \text{rigidity}(t) &= b \cdot R^2 \cdot \ln\!\frac{1}{|c|+\varepsilon} \end{aligned}","10, 20, 30, 45, 60, 90, 105","200, 400, 600, 900, 1200, 1800, 2100","Price（成交价）、CanUsePrice（价格有效标志）","窗口内无效比例 < 10%；有效 tick（CanUsePrice=True 且价格有限）须 ≥ 3；Cramer 法则行列式须 > 1e-20","i 为有效 tick 在窗口内的相对位置（0-based，跳过无效 tick）；系数由 Cramer 法则直接求解，内层循环由 numba.njit 编译加速；has_limit 标记窗口内是否出现涨跌停"
pv_corr,Price-Volume Correlation,量价关系,"捕捉价格变化与成交量变化方向的一致性。对 lag-W 价格收益率和成交量收益率各做 2W 期滚动 z-score 标准化，两者相乘取符号（量价同向为正，反向为负），再做 W 期均值平滑。持续量价同向变动表示趋势有量能支撑。","r_price(t) = P(t)/P(t-W) - 1;  r_vol(t) = V(t)/V(t-W) - 1
z_price/z_vol 各自做 2W rolling z-score（ddof=0）
raw(t) = z_price(t) * sign(z_vol(t))
pv_corr_W(t) = mean(raw, W)","\begin{aligned} z_p(t) &= \frac{r_p(t)-\bar{r}_p}{\sigma_{r_p}},\quad z_v(t) = \frac{r_v(t)-\bar{r}_v}{\sigma_{r_v}} \quad (\text{2W ticks}) \\[4pt] \text{raw}(t) &= z_p(t)\times\text{sign}(z_v(t)) \\[4pt] \text{pv\_corr}_W(t) &= \frac{1}{W}\sum_{i=t-W+1}^{t}\text{raw}(i) \end{aligned}","（以 tick 为单位，不适用分钟）","100, 200, 300","Price（成交价）、CumVolume（累计成交量）、CanUsePrice（价格有效标志）","窗口检查跨度 4W tick（1W 算 lag 收益 + 2W 标准化 + 1W 平滑）；无效比例 < 10%；成交量收益率要求 V(t-W) > 0","成交量使用累计成交量（CumVolume），r_vol = CumVolume(t)/CumVolume(t-W)-1 反映 W 期内的成交量增长率；z-score 标准差采用 ddof=0；has_limit 标记 4W 跨度内是否出现涨跌停"
rsrs,Resistance Support Relative Strength,微观结构,"对过去 W 分钟内五档量加权买价序列与卖价序列做简单线性回归，取斜率 β（ask_w ~ bid_w）。β 反映卖方报价相对买方报价的弹性：β > 1 表示同等幅度的买价抬升会带动更大幅度的卖价抬升，暗示上方阻力较强；β < 1 则暗示支撑较强。","bid_w = sum(BidPrice_i * BidVol_i) / sum(BidVol_i)  (i=1..5)
ask_w = sum(AskPrice_i * AskVol_i) / sum(AskVol_i)  (i=1..5)
rsrs_W(t) = beta  from  ask_w ~ alpha + beta * bid_w  (OLS, W ticks)","\begin{aligned} \text{bid}_w(t) &= \frac{\sum_{i=1}^{5}\text{BidPrice}_i\cdot\text{BidVol}_i}{\sum_{i=1}^{5}\text{BidVol}_i} \\[6pt] \text{rsrs}_W(t) &= \hat{\beta},\quad \text{ask}_w = \alpha + \beta\cdot\text{bid}_w \end{aligned}","30, 45, 60, 75, 105","600, 900, 1200, 1500, 2100","BidPrice/AskPrice 五档、BidVolume/AskVolume 五档、CanUseFiveLevelBook（五档有效标志）","CanUseFiveLevelBook=True；窗口内有效 tick 须 ≥ 2；窗口内无效比例 < 10%；涨跌停 tick 五档数据无效，不参与回归","β 用滚动统计量向量化计算：β = (n·Σxy − Σx·Σy)/(n·Σx² − (Σx)²)；has_limit 恒为 False（涨跌停时五档失效，tick 不参与回归）"
oir,Order Imbalance Ratio,微观结构,"五档盘口的衰减权重委托失衡率。对每个 tick 计算加权买量与卖量之差除以之和（范围 -1 到 1），再对过去 W 分钟内的有效原始值取均值。正值表示买盘更厚重，负值表示卖盘更厚重。相较于只看一档的 BAP，OIR 综合五个价格档位信息，对盘口压力结构的刻画更全面。","OIR_raw(t) = (sum(w_i * BidVol_i) - sum(w_i * AskVol_i)) / (sum(w_i * BidVol_i) + sum(w_i * AskVol_i))
weights = [1.0, 0.8, 0.6, 0.4, 0.2]
OIR_W(t) = mean(OIR_raw, W)","\begin{aligned} \text{OIR\_raw}(t) &= \frac{\sum_{i=1}^{5}w_i(\text{BidVol}_i-\text{AskVol}_i)}{\sum_{i=1}^{5}w_i(\text{BidVol}_i+\text{AskVol}_i)} \\[6pt] \text{OIR}_W(t) &= \frac{1}{|\mathcal{V}|}\sum_{j\in\mathcal{V}}\text{OIR\_raw}(j) \end{aligned}","15, 30, 45, 60, 75","300, 600, 900, 1200, 1500","BidVolume/AskVolume 五档、CanUseFiveLevelBook（五档有效标志）","CanUseFiveLevelBook=True；窗口内有效比例 ≥ 90%；涨跌停时五档失效","权重 w=[1.0, 0.8, 0.6, 0.4, 0.2]，一档权重最高，对远端档位给予衰减；has_limit 恒为 False"
ofd,Order Flow Density,微观结构,"买卖方委托密度之比。委托密度 = 五档总挂单量除以相邻档位平均价格间距，反映单位价格空间内的挂单厚度。比值 > 1 表示买方挂单密度更高（支撑更厚），< 1 表示卖方挂单密度更高（阻力更厚）。比 OIR 额外引入价格空间维度，区分密集挂单与稀疏挂单。","avg_bid_spread = mean(BidPrice_i - BidPrice_{i+1})  i=1..4
avg_ask_spread = mean(AskPrice_{i+1} - AskPrice_i)  i=1..4
rho_bid = sum(BidVol_{1:5}) / avg_bid_spread
rho_ask = sum(AskVol_{1:5}) / avg_ask_spread
ofd_raw(t) = rho_bid / rho_ask
ofd_W(t) = mean(ofd_raw, W)","\begin{aligned} \rho_b &= \frac{\sum_{i=1}^{5}\text{BidVol}_i}{\overline{\Delta\text{BidP}}},\quad \rho_a = \frac{\sum_{i=1}^{5}\text{AskVol}_i}{\overline{\Delta\text{AskP}}} \\[6pt] \text{ofd\_raw}(t) &= \frac{\rho_b}{\rho_a} \\[4pt] \text{ofd}_W(t) &= \frac{1}{|\mathcal{V}|}\sum_{j\in\mathcal{V}}\text{ofd\_raw}(j) \end{aligned}","15, 30, 45, 60, 75","300, 600, 900, 1200, 1500","BidPrice/AskPrice 五档、BidVolume/AskVolume 五档、CanUseFiveLevelBook（五档有效标志）","CanUseFiveLevelBook=True；买侧和卖侧相邻档位平均价差均须 > 0；窗口内有效比例 ≥ 90%","买价间距 = BidPrice_i − BidPrice_{i+1}（i=1..4，档位从高到低排列）；卖价间距 = AskPrice_{i+1} − AskPrice_i（i=1..4，从低到高）；has_limit 恒为 False"
